id;name;price;picture_url;faction;vendu
ALT_COREKS_B_LY_10_U_674;Encrière de l'Ouroboros;28;https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_LY_10/UNIQUE/JPG/fr_FR/2e0e9fd355aec71a1b0148b689ef8bc6.jpg;axiom;0
ALT_COREKS_B_LY_11_U_138;Esmeralda;26;https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_LY_11/UNIQUE/JPG/fr_FR/c0154b1ccce9699d9e9b63af7966762f.jpg;lyra;0
ALT_COREKS_B_LY_13_U_5259;Anansi;25;https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_LY_13/UNIQUE/JPG/fr_FR/295076f28528eae8ea9eb3aa6b84f4ea.jpg;lyra;0
ALT_COREKS_B_LY_13_U_896;Anansi;40;https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_LY_13/UNIQUE/JPG/fr_FR/4e5dfe5c790a71fb3ab5bb473a0f5a6a.jpg;axiom;0
ALT_COREKS_B_MU_04_U_2311;Soigneuse Muna;15;https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_MU_04/UNIQUE/JPG/fr_FR/ae93a09a04de40868bdff04b4c07035c.jpg;yzmir;0
ALT_COREKS_B_MU_04_U_429;Soigneuse Muna;15;https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_MU_04/UNIQUE/JPG/fr_FR/5c732c8d409ce577c2d110e3f423a565.jpg;yzmir;0
ALT_COREKS_B_MU_06_U_1547;Vendangeurs du Fuseau;38;https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_MU_06/UNIQUE/JPG/fr_FR/8be642a9167eaef160fadd42b69601f9.jpg;yzmir;0
ALT_COREKS_B_MU_06_U_1739;Vendangeurs du Fuseau;28;https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_MU_06/UNIQUE/JPG/fr_FR/65b47d8e381dd43fefc0eb16f2496267.jpg;yzmir;0
ALT_COREKS_B_MU_10_U_4145;Yong-Su, Tisserand Verdoyant;110;https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_MU_10/UNIQUE/JPG/fr_FR/1cc1632fddf0ad12d3f1e9d5147714c8.jpg;muna;0
ALT_COREKS_B_MU_23_U_1657;Marchand Muna;13;https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_MU_23/UNIQUE/JPG/fr_FR/011e4374b4ce71949ae2d00fbc660ede.jpg;axiom;0
ALT_COREKS_B_OR_05_U_2830;Troupière Ordis;10;https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_OR_05/UNIQUE/JPG/fr_FR/3b8ab623d327cd6467eb524a9e292201.jpg;ordis;0
ALT_COREKS_B_OR_05_U_2966;Troupière Ordis;16;https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_OR_05/UNIQUE/JPG/fr_FR/9ed6131e4715d7d3dca87220ef889abc.jpg;ordis;0
ALT_COREKS_B_OR_05_U_3590;Ordis Trooper;105;https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_OR_05/UNIQUE/JPG/fr_FR/cb880ef87088d0cb11b65f93f3c4961b.jpg;ordis;0
ALT_COREKS_B_OR_06_U_1066;Cadets Ordis;15;https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_OR_06/UNIQUE/JPG/fr_FR/7c7e4471611155a2ac8d41a383c76416.jpg;yzmir;0
ALT_COREKS_B_OR_06_U_1425;Cadets Ordis;45;https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_OR_06/UNIQUE/JPG/fr_FR/227ccbc0150f56ea6c7e17a753b0de24.jpg;yzmir;0
